<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RTSI;5;01/06/20;10:00;1240.0800000;1252.3400000;1239.3200000;1252.1200000;72012221
RTSI;5;01/06/20;10:05;1252.3400000;1252.9200000;1249.1000000;1249.3900000;40325956
RTSI;5;01/06/20;10:10;1249.8800000;1249.8800000;1243.6500000;1243.7500000;33383900
RTSI;5;01/06/20;10:15;1243.8500000;1245.5500000;1242.3600000;1245.5500000;22792691
RTSI;5;01/06/20;10:20;1245.4600000;1248.6200000;1245.3800000;1248.4900000;16357630
RTSI;5;01/06/20;10:25;1248.4300000;1249.6100000;1247.1100000;1247.7000000;16666257
RTSI;5;01/06/20;10:30;1247.6000000;1248.7700000;1245.1200000;1245.1800000;14776403
RTSI;5;01/06/20;10:35;1245.1800000;1247.2800000;1245.1000000;1246.0200000;11636584
RTSI;5;01/06/20;10:40;1246.1100000;1249.5500000;1246.0100000;1249.3900000;13999140
RTSI;5;01/06/20;10:45;1249.4700000;1252.9200000;1249.4700000;1252.9100000;23444095
RTSI;5;01/06/20;10:50;1252.9200000;1253.9100000;1251.0800000;1251.5900000;17456334
RTSI;5;01/06/20;10:55;1251.6600000;1252.7000000;1251.3300000;1252.5800000;13117189
RTSI;5;01/06/20;11:00;1252.5800000;1252.9900000;1250.5500000;1250.6900000;21568417
RTSI;5;01/06/20;11:05;1250.7900000;1250.7900000;1244.8700000;1245.8000000;19495240
RTSI;5;01/06/20;11:10;1245.7900000;1245.7900000;1242.1800000;1242.3000000;23907801
RTSI;5;01/06/20;11:15;1242.3600000;1242.3600000;1237.7100000;1239.1000000;25073593
RTSI;5;01/06/20;11:20;1238.9600000;1240.5000000;1235.2100000;1236.0000000;21476542
RTSI;5;01/06/20;11:25;1236.0100000;1240.3400000;1234.2300000;1239.8000000;21422615
RTSI;5;01/06/20;11:30;1240.0400000;1240.5000000;1238.5300000;1239.1300000;12545466
RTSI;5;01/06/20;11:35;1239.1400000;1244.5200000;1238.0900000;1243.4300000;14288252
RTSI;5;01/06/20;11:40;1243.3300000;1243.4800000;1240.9600000;1242.8700000;7327736
RTSI;5;01/06/20;11:45;1242.8800000;1243.7700000;1241.9300000;1242.8000000;8000217
RTSI;5;01/06/20;11:50;1242.8100000;1244.6300000;1242.5400000;1244.1900000;6324984
RTSI;5;01/06/20;11:55;1244.1500000;1244.9000000;1243.4800000;1243.6400000;5014766
RTSI;5;01/06/20;12:00;1243.6400000;1243.7100000;1239.4700000;1241.1600000;14360906
RTSI;5;01/06/20;12:05;1241.2000000;1242.1600000;1240.2600000;1240.4500000;8562915
RTSI;5;01/06/20;12:10;1240.5400000;1240.8900000;1238.8400000;1239.3200000;10558055
RTSI;5;01/06/20;12:15;1239.3000000;1240.5400000;1238.6300000;1240.4600000;10047564
RTSI;5;01/06/20;12:20;1240.3900000;1240.8100000;1239.3100000;1239.7200000;6129679
RTSI;5;01/06/20;12:25;1239.9800000;1240.9800000;1238.4900000;1238.5800000;9015237
RTSI;5;01/06/20;12:30;1238.5900000;1239.9500000;1237.7600000;1239.9500000;5305381
RTSI;5;01/06/20;12:35;1239.9800000;1240.1400000;1237.6800000;1238.2400000;5290829
RTSI;5;01/06/20;12:40;1238.2500000;1238.3300000;1235.5300000;1237.5400000;7363399
RTSI;5;01/06/20;12:45;1237.5600000;1238.1600000;1236.4900000;1238.1300000;5561416
RTSI;5;01/06/20;12:50;1238.1500000;1238.4700000;1236.1600000;1236.1600000;6993704
RTSI;5;01/06/20;12:55;1236.1900000;1237.2000000;1236.1900000;1237.0100000;3685551
RTSI;5;01/06/20;13:00;1237.0100000;1237.0100000;1233.7300000;1234.7900000;10467065
RTSI;5;01/06/20;13:05;1234.7700000;1236.0500000;1234.4300000;1235.9000000;5291527
RTSI;5;01/06/20;13:10;1235.8500000;1237.5700000;1235.3400000;1237.4800000;6502111
RTSI;5;01/06/20;13:15;1237.4800000;1237.7500000;1236.9600000;1237.5900000;3579540
RTSI;5;01/06/20;13:20;1237.6200000;1240.9000000;1237.6100000;1240.9000000;9517081
RTSI;5;01/06/20;13:25;1240.8900000;1240.9700000;1239.3700000;1240.1800000;5201311
RTSI;5;01/06/20;13:30;1240.0900000;1241.3500000;1239.5500000;1240.3700000;7003443
RTSI;5;01/06/20;13:35;1240.3900000;1240.9500000;1240.2500000;1240.8700000;4407694
