<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RTSI;10;26/05/20;10:30;1232.6600000;1235.4100000;1232.0400000;1234.1500000;34650916
RTSI;10;26/05/20;10:40;1234.1200000;1234.9200000;1232.6500000;1234.3800000;29135809
RTSI;10;26/05/20;10:50;1234.4700000;1235.3900000;1233.4400000;1234.3700000;25345098
RTSI;10;26/05/20;11:00;1234.3900000;1237.7600000;1233.5500000;1237.5500000;39435129
RTSI;10;26/05/20;11:10;1237.5300000;1238.4300000;1236.5100000;1238.0700000;37603339
RTSI;10;26/05/20;11:20;1238.0500000;1238.6700000;1236.2400000;1237.2700000;26121890
RTSI;10;26/05/20;11:30;1237.2700000;1237.8900000;1233.7300000;1234.1100000;27196740
RTSI;10;26/05/20;11:40;1234.0800000;1234.8000000;1232.9900000;1233.0500000;23747855
RTSI;10;26/05/20;11:50;1233.0400000;1236.1600000;1232.5100000;1235.6000000;18310569
RTSI;10;26/05/20;12:00;1235.5600000;1237.4500000;1234.8900000;1237.4200000;16621207
RTSI;10;26/05/20;12:10;1237.4000000;1237.9100000;1236.4700000;1237.4300000;14468039
RTSI;10;26/05/20;12:20;1237.4000000;1238.4500000;1234.6400000;1235.8300000;14319143
RTSI;10;26/05/20;12:30;1235.7300000;1236.8100000;1234.1300000;1234.4900000;13943865
RTSI;10;26/05/20;12:40;1234.5000000;1235.6300000;1233.9600000;1235.4200000;10691613
RTSI;10;26/05/20;12:50;1235.4200000;1235.5500000;1232.9300000;1233.1000000;22170330
RTSI;10;26/05/20;13:00;1233.0900000;1233.7400000;1232.4500000;1233.5500000;10568685
RTSI;10;26/05/20;13:10;1233.5500000;1237.1000000;1233.4400000;1236.7400000;15415807
RTSI;10;26/05/20;13:20;1236.7200000;1239.0100000;1236.5400000;1238.9700000;14167685
RTSI;10;26/05/20;13:30;1238.9700000;1241.0300000;1234.7700000;1235.0700000;21968022
RTSI;10;26/05/20;13:40;1235.0700000;1236.3900000;1234.1100000;1236.3900000;9280690
RTSI;10;26/05/20;13:50;1236.4000000;1236.6300000;1233.9400000;1236.4300000;15074130
RTSI;10;26/05/20;14:00;1236.4500000;1236.7400000;1235.1700000;1236.0700000;6884644
RTSI;10;26/05/20;14:10;1236.0800000;1236.2300000;1234.4600000;1235.5900000;9521585
RTSI;10;26/05/20;14:20;1235.6100000;1236.1000000;1234.9100000;1235.5100000;7753154
RTSI;10;26/05/20;14:30;1235.5300000;1235.5400000;1233.6600000;1234.2900000;9252280
RTSI;10;26/05/20;14:40;1234.2400000;1235.5400000;1234.0600000;1235.1200000;6910884
RTSI;10;26/05/20;14:50;1235.1200000;1239.3100000;1234.9500000;1237.7300000;12782367
RTSI;10;26/05/20;15:00;1237.6800000;1238.1500000;1236.0700000;1236.6600000;9512772
RTSI;10;26/05/20;15:10;1236.6200000;1238.1500000;1236.3700000;1237.6400000;7905044
RTSI;10;26/05/20;15:20;1237.6600000;1240.2000000;1237.5600000;1239.7100000;12993053
RTSI;10;26/05/20;15:30;1239.6900000;1240.6800000;1238.6400000;1240.0100000;10881167
RTSI;10;26/05/20;15:40;1239.9400000;1241.8900000;1239.5300000;1240.4800000;25256668
RTSI;10;26/05/20;15:50;1240.4900000;1241.3800000;1240.1500000;1241.1200000;11171868
RTSI;10;26/05/20;16:00;1241.0900000;1243.9600000;1241.0600000;1243.1500000;20528570
RTSI;10;26/05/20;16:10;1243.1700000;1243.2500000;1240.5000000;1240.9300000;15870720
RTSI;10;26/05/20;16:20;1241.0000000;1241.1100000;1239.1400000;1239.3900000;16120773
RTSI;10;26/05/20;16:30;1239.4200000;1241.0800000;1239.4100000;1240.1500000;34326958
RTSI;10;26/05/20;16:40;1240.1300000;1242.5500000;1240.0800000;1240.6800000;30148881
RTSI;10;26/05/20;16:50;1240.6800000;1240.7500000;1237.0000000;1237.1700000;20643229
RTSI;10;26/05/20;17:00;1237.1600000;1238.7300000;1232.5900000;1233.2800000;26553555
RTSI;10;26/05/20;17:10;1233.3100000;1235.0700000;1232.5300000;1234.9000000;19479723
RTSI;10;26/05/20;17:20;1234.9700000;1236.3300000;1234.2000000;1236.3300000;13790430
RTSI;10;26/05/20;17:30;1236.3200000;1237.8100000;1236.2100000;1236.2100000;14380696
RTSI;10;26/05/20;17:40;1236.1700000;1236.8200000;1233.9200000;1234.0300000;19735714
RTSI;10;26/05/20;17:50;1233.9000000;1236.3900000;1233.8900000;1235.3300000;16424434
RTSI;10;26/05/20;18:00;1235.2000000;1236.2700000;1232.8400000;1232.8400000;14679451
RTSI;10;26/05/20;18:10;1232.8100000;1233.1000000;1228.4500000;1228.5200000;34122566
RTSI;10;26/05/20;18:20;1228.2700000;1228.8700000;1223.1700000;1225.5800000;49317733
RTSI;10;26/05/20;18:30;1225.5900000;1226.4200000;1223.1900000;1226.0300000;31146306
RTSI;10;26/05/20;18:40;1226.0300000;1226.0300000;1226.0300000;1226.0300000;0
RTSI;10;26/05/20;18:50;1224.9900000;1224.9900000;1224.9900000;1224.9900000;23152432
RTSI;10;27/05/20;10:00;1222.9100000;1224.0800000;1218.4000000;1223.7400000;63188210
RTSI;10;27/05/20;10:10;1223.7500000;1224.0500000;1217.1900000;1217.3500000;34890868
RTSI;10;27/05/20;10:20;1217.5100000;1218.7700000;1213.5400000;1215.6800000;36939255
RTSI;10;27/05/20;10:30;1215.7000000;1218.4700000;1214.2200000;1218.3200000;32045630
RTSI;10;27/05/20;10:40;1218.3800000;1223.7900000;1218.3700000;1222.2400000;27378723
RTSI;10;27/05/20;10:50;1222.1800000;1222.1800000;1218.6200000;1219.9400000;17121838
RTSI;10;27/05/20;11:00;1219.9300000;1221.0400000;1217.9000000;1220.6900000;20066766
RTSI;10;27/05/20;11:10;1220.6600000;1228.1600000;1220.5700000;1227.4700000;41524821
RTSI;10;27/05/20;11:20;1227.5000000;1229.3400000;1226.8600000;1227.1400000;27148716
RTSI;10;27/05/20;11:30;1227.2300000;1232.4600000;1227.2300000;1232.3500000;35356941
RTSI;10;27/05/20;11:40;1232.3800000;1232.5900000;1230.3400000;1230.8300000;27472517
RTSI;10;27/05/20;11:50;1230.7900000;1233.9400000;1230.7300000;1231.8200000;22706439
RTSI;10;27/05/20;12:00;1231.8100000;1232.3700000;1229.5800000;1229.9600000;25393909
RTSI;10;27/05/20;12:10;1229.9000000;1232.2700000;1229.4000000;1230.2500000;19679471
RTSI;10;27/05/20;12:20;1230.4100000;1234.8300000;1230.4100000;1232.4400000;30138655
RTSI;10;27/05/20;12:30;1232.4800000;1233.4100000;1230.2800000;1231.9200000;15826570
RTSI;10;27/05/20;12:40;1231.9600000;1232.9400000;1230.2400000;1230.2700000;19007188
RTSI;10;27/05/20;12:50;1230.2400000;1232.8600000;1229.5800000;1232.7800000;27387636
