<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RTSI;60;03/06/19;10:00;1278.7300000;1278.8600000;1273.6200000;1277.8000000;116124711
RTSI;60;03/06/19;11:00;1277.8900000;1298.4400000;1277.8900000;1296.9000000;210736537
RTSI;60;03/06/19;12:00;1296.7600000;1315.1400000;1295.4900000;1314.5100000;303193323
RTSI;60;03/06/19;13:00;1314.5100000;1323.0600000;1302.6700000;1307.0300000;347229423
RTSI;60;03/06/19;14:00;1306.9400000;1316.4600000;1305.6000000;1311.4200000;123710243
RTSI;60;03/06/19;15:00;1311.4700000;1318.1100000;1311.1700000;1317.8000000;84554372
RTSI;60;03/06/19;16:00;1317.7900000;1318.6700000;1309.8900000;1310.8600000;90733765
RTSI;60;03/06/19;17:00;1310.4600000;1316.2900000;1307.5600000;1316.1700000;95632742
RTSI;60;03/06/19;18:00;1316.1300000;1319.0600000;1314.5000000;1315.2200000;132926009
RTSI;60;04/06/19;10:00;1314.4000000;1321.3900000;1308.7400000;1318.3100000;215480452
RTSI;60;04/06/19;11:00;1318.3100000;1318.3900000;1301.4000000;1306.4500000;193207687
RTSI;60;04/06/19;12:00;1306.3600000;1309.3500000;1302.5400000;1304.3700000;93707216
RTSI;60;04/06/19;13:00;1304.3700000;1307.9800000;1304.0700000;1306.2500000;66761606
RTSI;60;04/06/19;14:00;1306.1300000;1306.6700000;1303.8600000;1306.1200000;56285091
RTSI;60;04/06/19;15:00;1306.1500000;1308.2800000;1302.0700000;1304.6800000;75725365
RTSI;60;04/06/19;16:00;1304.6800000;1307.8200000;1303.1800000;1304.9200000;76000604
RTSI;60;04/06/19;17:00;1304.9100000;1306.5200000;1299.0600000;1303.0300000;121146190
RTSI;60;04/06/19;18:00;1303.0900000;1314.1100000;1300.8500000;1307.5500000;185958257
RTSI;60;05/06/19;10:00;1309.9600000;1312.0900000;1300.3600000;1306.7800000;138963328
RTSI;60;05/06/19;11:00;1306.8100000;1311.3600000;1306.0900000;1308.3400000;86212880
RTSI;60;05/06/19;12:00;1308.4600000;1314.2900000;1307.8500000;1313.1500000;85717619
RTSI;60;05/06/19;13:00;1313.1500000;1313.3800000;1309.8200000;1310.4200000;46755174
RTSI;60;05/06/19;14:00;1310.4200000;1312.3400000;1309.6100000;1310.7900000;47543921
RTSI;60;05/06/19;15:00;1310.7400000;1311.4200000;1307.9800000;1310.1200000;51229847
RTSI;60;05/06/19;16:00;1310.0700000;1310.4900000;1305.2800000;1307.7700000;59705961
RTSI;60;05/06/19;17:00;1307.6800000;1308.0600000;1300.1100000;1301.5500000;92825002
RTSI;60;05/06/19;18:00;1301.5500000;1306.3800000;1301.3700000;1303.3500000;85854104
RTSI;60;06/06/19;10:00;1301.7400000;1313.2700000;1301.0500000;1312.8000000;144736303
RTSI;60;06/06/19;11:00;1312.7900000;1318.5300000;1312.4500000;1316.8800000;130240412
RTSI;60;06/06/19;12:00;1316.8800000;1321.2300000;1315.0000000;1315.3000000;125207024
RTSI;60;06/06/19;13:00;1315.1500000;1317.0100000;1313.8600000;1315.4300000;66820877
RTSI;60;06/06/19;14:00;1315.4600000;1318.7300000;1315.0500000;1317.7200000;54660733
