<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RTSI;5;22/05/20;10:00;1194.8600000;1197.0600000;1182.4000000;1182.4800000;50849487
RTSI;5;22/05/20;10:05;1182.7200000;1185.4500000;1181.2200000;1184.6000000;31857682
RTSI;5;22/05/20;10:10;1184.5600000;1184.9300000;1180.4900000;1180.5800000;27677086
RTSI;5;22/05/20;10:15;1180.5200000;1182.7400000;1179.3900000;1182.7300000;18785413
RTSI;5;22/05/20;10:20;1182.6800000;1183.1300000;1180.3600000;1182.9800000;11637491
RTSI;5;22/05/20;10:25;1183.0600000;1184.7500000;1182.0000000;1183.4800000;10572981
RTSI;5;22/05/20;10:30;1183.5300000;1185.6700000;1183.0400000;1184.4600000;11675478
RTSI;5;22/05/20;10:35;1184.4900000;1184.5500000;1180.8600000;1181.3400000;9857722
RTSI;5;22/05/20;10:40;1181.2100000;1181.6400000;1180.2700000;1181.3100000;7456260
RTSI;5;22/05/20;10:45;1181.2700000;1181.8800000;1179.1900000;1179.8400000;13262940
RTSI;5;22/05/20;10:50;1179.8400000;1180.9000000;1178.5500000;1178.8100000;8843781
RTSI;5;22/05/20;10:55;1178.8800000;1179.0200000;1176.4000000;1176.8900000;11370746
RTSI;5;22/05/20;11:00;1176.9700000;1178.7500000;1176.7700000;1178.6100000;9715791
RTSI;5;22/05/20;11:05;1178.5700000;1178.8800000;1175.9500000;1175.9500000;8942019
RTSI;5;22/05/20;11:10;1175.9500000;1176.3000000;1174.8600000;1176.1900000;11543324
RTSI;5;22/05/20;11:15;1176.1000000;1178.2900000;1175.9200000;1177.0000000;9419234
RTSI;5;22/05/20;11:20;1176.9900000;1177.6500000;1176.3800000;1176.6500000;4612383
RTSI;5;22/05/20;11:25;1176.7200000;1178.4600000;1176.0300000;1178.4600000;8247302
RTSI;5;22/05/20;11:30;1178.4700000;1180.9400000;1178.3200000;1180.2100000;8573316
RTSI;5;22/05/20;11:35;1180.2300000;1180.7900000;1178.3700000;1179.3200000;7672529
RTSI;5;22/05/20;11:40;1179.2900000;1183.6900000;1179.2900000;1182.9500000;11410751
RTSI;5;22/05/20;11:45;1183.0100000;1184.2400000;1182.5500000;1182.5900000;9002746
RTSI;5;22/05/20;11:50;1182.7000000;1184.7400000;1182.4100000;1184.5700000;9029496
RTSI;5;22/05/20;11:55;1184.6800000;1186.6000000;1184.4800000;1186.1200000;13158141
RTSI;5;22/05/20;12:00;1186.1500000;1186.1900000;1184.7500000;1185.6600000;7948780
RTSI;5;22/05/20;12:05;1185.6100000;1187.2300000;1184.7900000;1187.2100000;12429938
RTSI;5;22/05/20;12:10;1187.2500000;1187.4500000;1185.0300000;1185.1400000;6720518
RTSI;5;22/05/20;12:15;1185.0400000;1187.6600000;1185.0000000;1187.6500000;6492505
RTSI;5;22/05/20;12:20;1187.6200000;1190.0300000;1187.6200000;1189.4200000;13218951
RTSI;5;22/05/20;12:25;1189.4500000;1189.6100000;1187.1400000;1187.1400000;9018208
RTSI;5;22/05/20;12:30;1187.1800000;1187.9500000;1186.1000000;1186.8400000;6747728
RTSI;5;22/05/20;12:35;1186.8500000;1188.9800000;1186.7700000;1188.6700000;4986508
RTSI;5;22/05/20;12:40;1188.7000000;1191.0300000;1188.1200000;1190.9100000;7006690
RTSI;5;22/05/20;12:45;1190.9300000;1191.9400000;1190.7700000;1191.4600000;4615446
RTSI;5;22/05/20;12:50;1191.4600000;1192.7500000;1189.9800000;1190.0500000;8748152
RTSI;5;22/05/20;12:55;1190.1000000;1190.6400000;1187.6900000;1187.7500000;5643889
RTSI;5;22/05/20;13:00;1187.6700000;1190.5400000;1187.5600000;1190.0300000;7723232
RTSI;5;22/05/20;13:05;1190.0000000;1191.3200000;1189.4200000;1189.4200000;5763495
RTSI;5;22/05/20;13:10;1189.4000000;1191.0900000;1189.0100000;1190.9600000;7300413
RTSI;5;22/05/20;13:15;1190.9600000;1191.4300000;1188.3300000;1188.3300000;12413469
