<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RTSI;60;04/05/20;10:00;1111.2800000;1111.2800000;1080.6300000;1093.4500000;229415084
RTSI;60;04/05/20;11:00;1093.4200000;1093.9600000;1085.9100000;1087.8400000;88919533
RTSI;60;04/05/20;12:00;1087.7500000;1094.2800000;1085.2400000;1093.5400000;89357537
RTSI;60;04/05/20;13:00;1093.7100000;1099.4400000;1092.2600000;1093.9700000;65179883
RTSI;60;04/05/20;14:00;1094.2400000;1098.7300000;1093.3300000;1097.2700000;55153454
RTSI;60;04/05/20;15:00;1097.2600000;1101.6300000;1094.2600000;1094.7400000;61042802
RTSI;60;04/05/20;16:00;1094.7600000;1103.9000000;1092.7900000;1101.5900000;72161210
RTSI;60;04/05/20;17:00;1101.4900000;1108.5400000;1100.2200000;1100.7900000;87344093
RTSI;60;04/05/20;18:00;1100.7100000;1102.7900000;1098.8600000;1099.4200000;68028842
RTSI;60;05/05/20;10:00;1117.0000000;1132.2400000;1117.0000000;1126.6700000;167789210
RTSI;60;05/05/20;11:00;1126.6700000;1129.6500000;1115.9900000;1116.8900000;92575569
RTSI;60;05/05/20;12:00;1116.9400000;1125.6500000;1116.5600000;1125.5700000;71023482
RTSI;60;05/05/20;13:00;1125.5700000;1129.2600000;1120.8200000;1122.9000000;48842812
RTSI;60;05/05/20;14:00;1122.8800000;1127.5800000;1122.5600000;1125.6800000;31919907
RTSI;60;05/05/20;15:00;1125.6100000;1128.3600000;1123.3100000;1127.4400000;41466337
RTSI;60;05/05/20;16:00;1127.4300000;1132.9000000;1125.6500000;1132.8000000;84485647
RTSI;60;05/05/20;17:00;1132.7000000;1135.4000000;1128.2500000;1128.5200000;84577526
RTSI;60;05/05/20;18:00;1128.5600000;1134.4700000;1128.4600000;1133.1600000;72116971
RTSI;60;06/05/20;10:00;1135.7400000;1139.5100000;1122.9300000;1125.2000000;154359183
RTSI;60;06/05/20;11:00;1125.0900000;1132.5800000;1123.2700000;1131.0200000;108017534
RTSI;60;06/05/20;12:00;1131.0300000;1135.0000000;1127.8800000;1132.1100000;84161602
RTSI;60;06/05/20;13:00;1132.1000000;1132.5500000;1127.7700000;1131.0400000;52320123
RTSI;60;06/05/20;14:00;1131.0300000;1131.9300000;1119.7700000;1120.5000000;88214899
RTSI;60;06/05/20;15:00;1120.5000000;1121.1300000;1108.2200000;1112.9100000;102740759
RTSI;60;06/05/20;16:00;1112.8500000;1119.2900000;1109.8900000;1110.5300000;92141914
RTSI;60;06/05/20;17:00;1110.5800000;1118.8700000;1106.0600000;1116.7200000;123289337
RTSI;60;06/05/20;18:00;1116.7300000;1116.8300000;1111.4300000;1111.4300000;103048259
RTSI;60;07/05/20;10:00;1112.6500000;1126.9900000;1111.7300000;1122.6800000;114119703
RTSI;60;07/05/20;11:00;1122.6800000;1126.8700000;1118.4000000;1124.0800000;72309815
RTSI;60;07/05/20;12:00;1124.0800000;1135.4300000;1123.5800000;1133.5500000;98305988
RTSI;60;07/05/20;13:00;1133.5500000;1134.1100000;1129.7000000;1132.1000000;68746476
RTSI;60;07/05/20;14:00;1132.0600000;1138.2200000;1131.3500000;1136.9100000;85376938
RTSI;60;07/05/20;15:00;1136.8900000;1138.1200000;1131.1300000;1131.6700000;72187881
RTSI;60;07/05/20;16:00;1131.7200000;1132.5100000;1122.4100000;1126.2800000;187360101
RTSI;60;07/05/20;17:00;1126.2400000;1126.5400000;1118.0500000;1120.4400000;140528876
RTSI;60;07/05/20;18:00;1120.4300000;1127.1000000;1120.4300000;1126.4800000;118048503
RTSI;60;08/05/20;10:00;1125.6600000;1127.0500000;1117.7300000;1118.7400000;160867223
RTSI;60;08/05/20;11:00;1118.7600000;1122.1300000;1116.2500000;1117.6100000;86530587
RTSI;60;08/05/20;13:00;1121.0000000;1124.5500000;1120.6800000;1124.1800000;64031173
RTSI;60;08/05/20;14:00;1124.1700000;1124.9900000;1118.1600000;1119.4600000;57370145
RTSI;60;08/05/20;15:00;1119.4900000;1128.4200000;1118.0200000;1127.1200000;52457481
RTSI;60;08/05/20;16:00;1127.1000000;1134.2300000;1125.7700000;1134.2300000;88623693
RTSI;60;08/05/20;17:00;1134.1700000;1136.4900000;1132.2400000;1135.0200000;107504841
RTSI;60;08/05/20;18:00;1134.9900000;1140.0100000;1134.8500000;1136.3400000;107271005
RTSI;60;12/05/20;10:00;1130.0300000;1138.0800000;1125.3700000;1130.8400000;216101715
RTSI;60;12/05/20;11:00;1130.9000000;1132.5300000;1126.3200000;1126.9800000;104904056
RTSI;60;12/05/20;12:00;1126.9300000;1128.9700000;1123.1600000;1127.4000000;98189603
RTSI;60;12/05/20;13:00;1127.4600000;1134.3400000;1127.3500000;1133.8900000;76730172
RTSI;60;12/05/20;14:00;1133.7300000;1136.4500000;1132.8200000;1135.3600000;69210804
RTSI;60;12/05/20;15:00;1135.3400000;1137.7100000;1132.2100000;1136.7800000;69987646
RTSI;60;12/05/20;16:00;1136.8000000;1139.3800000;1133.1100000;1136.2600000;88147794
RTSI;60;12/05/20;17:00;1136.2500000;1141.2000000;1134.3400000;1140.3800000;88576546
RTSI;60;12/05/20;18:00;1140.4000000;1143.6500000;1137.2800000;1137.2800000;145325976
RTSI;60;13/05/20;10:00;1124.2900000;1126.0300000;1112.2000000;1115.6500000;235344665
RTSI;60;13/05/20;11:00;1115.6900000;1123.2300000;1114.7300000;1119.8800000;89530771
RTSI;60;13/05/20;12:00;1119.8800000;1127.6000000;1119.1400000;1125.2600000;62358468
RTSI;60;13/05/20;13:00;1125.2600000;1128.4000000;1125.0900000;1127.5600000;45738245
RTSI;60;13/05/20;14:00;1127.5700000;1131.9200000;1125.4000000;1131.0900000;43680167
RTSI;60;13/05/20;15:00;1131.0700000;1132.7500000;1127.3500000;1127.4300000;71432201
RTSI;60;13/05/20;16:00;1127.4900000;1128.2500000;1119.0500000;1121.9200000;99955915
RTSI;60;13/05/20;17:00;1121.8100000;1125.5200000;1115.7100000;1115.7100000;106197533
RTSI;60;13/05/20;18:00;1115.7800000;1116.4100000;1110.3700000;1110.3700000;132666348
RTSI;60;14/05/20;10:00;1104.5700000;1110.3700000;1099.1000000;1100.2900000;175593485
RTSI;60;14/05/20;11:00;1100.3200000;1107.7800000;1095.7700000;1106.1100000;105739409
RTSI;60;14/05/20;12:00;1105.9200000;1113.9400000;1104.1400000;1113.3600000;60348888
RTSI;60;14/05/20;13:00;1113.4000000;1113.6100000;1102.7100000;1105.3800000;62141410
RTSI;60;14/05/20;14:00;1105.5800000;1105.8600000;1097.8500000;1098.1600000;72186710
RTSI;60;14/05/20;15:00;1098.1500000;1099.3900000;1089.0000000;1092.2300000;116280410
RTSI;60;14/05/20;16:00;1092.2200000;1095.6600000;1087.0900000;1087.6100000;127342406
RTSI;60;14/05/20;17:00;1087.6300000;1104.1300000;1086.3600000;1101.9600000;153946870
RTSI;60;14/05/20;18:00;1101.8800000;1107.8300000;1101.8800000;1102.9800000;145663418
RTSI;60;15/05/20;10:00;1121.4700000;1133.8900000;1121.4700000;1133.6600000;239715721
RTSI;60;15/05/20;11:00;1133.6500000;1134.3400000;1127.0500000;1129.2300000;110384782
RTSI;60;15/05/20;12:00;1129.2300000;1131.5000000;1123.6800000;1125.3400000;71331956
RTSI;60;15/05/20;13:00;1125.3500000;1127.0000000;1117.5100000;1117.8000000;59111754
RTSI;60;15/05/20;14:00;1117.7900000;1118.3000000;1110.8900000;1112.3900000;72953797
RTSI;60;15/05/20;15:00;1112.4000000;1119.9300000;1110.9500000;1119.8800000;74184323
RTSI;60;15/05/20;16:00;1119.9200000;1120.2900000;1111.0400000;1119.5700000;89949245
RTSI;60;15/05/20;17:00;1119.5600000;1121.9800000;1112.9400000;1114.4300000;107787302
RTSI;60;15/05/20;18:00;1114.4400000;1114.4400000;1107.4900000;1107.4900000;127045910
RTSI;60;18/05/20;10:00;1122.7100000;1143.4300000;1122.7100000;1142.8200000;213662338
RTSI;60;18/05/20;11:00;1142.8800000;1147.8600000;1142.3200000;1145.3900000;169483280
RTSI;60;18/05/20;12:00;1145.5100000;1151.3200000;1143.2300000;1149.4100000;107898357
RTSI;60;18/05/20;13:00;1149.3400000;1151.7400000;1148.2600000;1151.2500000;71058543
RTSI;60;18/05/20;14:00;1151.2700000;1154.1500000;1147.4600000;1154.0400000;92285779
RTSI;60;18/05/20;15:00;1153.9600000;1158.6000000;1152.8000000;1158.5600000;136106556
RTSI;60;18/05/20;16:00;1158.6300000;1163.4200000;1157.2000000;1157.3800000;134355634
RTSI;60;18/05/20;17:00;1157.3500000;1164.7100000;1154.8900000;1164.2300000;155819735
RTSI;60;18/05/20;18:00;1164.2500000;1167.9500000;1163.3600000;1167.8800000;163923450
RTSI;60;19/05/20;10:00;1173.3700000;1183.7700000;1172.7800000;1176.4700000;251132243
RTSI;60;19/05/20;11:00;1176.4000000;1179.3100000;1171.2100000;1179.1800000;154937993
RTSI;60;19/05/20;12:00;1179.0600000;1180.5400000;1172.2100000;1172.2100000;156181456
RTSI;60;19/05/20;13:00;1172.1100000;1174.5600000;1168.0900000;1174.0500000;127543620
RTSI;60;19/05/20;14:00;1174.2200000;1181.6400000;1172.6800000;1175.3800000;94346872
RTSI;60;19/05/20;15:00;1175.3300000;1176.8600000;1168.0400000;1172.1600000;137878461
RTSI;60;19/05/20;16:00;1172.1000000;1177.9700000;1169.5400000;1177.3100000;117901012
RTSI;60;19/05/20;17:00;1177.3400000;1181.5700000;1174.7900000;1178.9300000;107397451
RTSI;60;19/05/20;18:00;1178.9300000;1179.7500000;1176.0800000;1177.2400000;105954846
RTSI;60;20/05/20;10:00;1176.0200000;1181.2500000;1173.7000000;1179.7400000;174891574
RTSI;60;20/05/20;11:00;1179.7300000;1204.6800000;1179.1800000;1200.1600000;267816068
RTSI;60;20/05/20;12:00;1200.1400000;1207.8900000;1197.5700000;1206.9700000;158608357
RTSI;60;20/05/20;13:00;1206.8900000;1210.5100000;1202.1800000;1209.9300000;114181791
RTSI;60;20/05/20;14:00;1209.9700000;1214.5900000;1207.6000000;1212.5800000;110629974
RTSI;60;20/05/20;15:00;1212.5700000;1217.0300000;1211.7400000;1216.5700000;127551807
RTSI;60;20/05/20;16:00;1217.0000000;1221.6100000;1214.5900000;1221.1300000;141307122
RTSI;60;20/05/20;17:00;1220.8500000;1224.3000000;1216.2100000;1223.3100000;151405630
RTSI;60;20/05/20;18:00;1223.2700000;1225.4700000;1216.5300000;1225.4700000;176800366
RTSI;60;21/05/20;10:00;1226.1500000;1243.2700000;1222.0800000;1230.7300000;329234073
RTSI;60;21/05/20;11:00;1230.2500000;1231.7800000;1217.4000000;1228.6700000;211531825
RTSI;60;21/05/20;12:00;1228.6500000;1229.1300000;1218.4300000;1218.4600000;106321885
